iter	Passed	Remaining
0	0	52
1	0	48
2	1	46
3	1	43
4	2	42
5	2	42
6	3	42
7	3	41
8	4	40
9	4	39
10	4	38
11	5	38
12	5	38
13	6	38
14	6	38
15	7	38
16	7	37
17	8	36
18	8	36
19	9	36
20	9	36
21	9	35
22	10	35
23	10	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	32
30	14	31
31	14	30
32	14	29
33	15	29
34	15	29
35	16	28
36	16	28
37	16	27
38	17	26
39	17	26
40	17	25
41	17	24
42	18	24
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	23	15
60	24	15
61	24	15
62	24	14
63	25	14
64	25	13
65	26	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	27	10
72	28	10
73	28	10
74	28	9
75	29	9
76	29	8
77	29	8
78	30	8
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	34	4
89	34	3
90	34	3
91	34	3
92	35	2
93	35	2
94	36	1
95	36	1
96	36	1
97	37	0
98	37	0
99	37	0
