iter	Passed	Remaining
0	54	54244
1	54	27295
2	55	18320
3	55	13832
4	55	11129
5	56	9328
6	56	8051
7	57	7076
8	57	6318
9	57	5716
10	58	5220
11	58	4807
12	58	4460
13	59	4161
14	59	3901
15	59	3677
16	60	3477
17	60	3298
18	61	3152
19	61	3013
20	62	2898
21	62	2791
22	63	2694
23	63	2593
24	64	2508
25	64	2420
26	65	2346
27	65	2278
28	66	2214
29	66	2156
30	69	2158
31	69	2101
32	69	2050
33	70	2001
34	70	1955
35	71	1914
36	72	1874
37	72	1838
38	73	1801
39	73	1764
40	73	1727
41	74	1691
42	74	1657
43	74	1624
44	75	1593
45	75	1567
46	76	1545
47	76	1524
48	77	1505
49	78	1485
50	78	1461
51	79	1441
52	79	1423
53	80	1403
54	80	1388
55	81	1371
56	82	1356
57	82	1340
58	83	1324
59	83	1315
60	84	1299
61	84	1283
62	85	1267
63	85	1252
64	86	1237
65	86	1223
66	86	1210
67	87	1196
68	87	1185
69	88	1177
70	89	1166
71	89	1154
72	89	1141
73	90	1128
74	90	1116
75	90	1104
76	91	1092
77	91	1080
78	91	1069
79	92	1058
80	92	1050
81	93	1041
82	93	1029
83	93	1019
84	93	1011
85	94	1002
86	94	992
87	94	983
88	95	976
89	96	975
90	97	969
91	97	963
92	98	956
93	98	948
94	98	941
95	99	936
96	100	932
97	100	927
98	101	921
99	102	918
100	102	911
101	102	905
102	103	899
103	103	893
104	104	888
105	104	884
106	105	880
107	105	875
108	106	869
109	106	862
110	106	856
111	107	850
112	107	844
113	108	840
114	109	840
115	109	834
116	109	828
117	110	822
118	110	818
119	111	816
120	112	815
121	112	810
122	113	807
123	113	802
124	113	797
125	114	794
126	114	789
127	116	795
128	117	792
129	118	791
130	118	788
131	119	784
132	119	779
133	119	775
134	120	770
135	120	766
136	121	763
137	122	763
138	122	760
139	123	756
140	124	755
141	124	750
142	124	746
143	125	743
144	126	743
145	126	740
146	126	736
147	127	733
148	127	729
149	128	726
150	130	731
151	130	728
152	131	725
153	131	723
154	132	720
155	132	716
156	132	712
157	133	709
158	133	705
159	133	701
160	134	698
161	134	698
162	135	695
163	135	692
164	136	690
165	136	688
166	137	685
167	137	682
168	138	680
169	138	677
170	139	676
171	149	721
172	150	719
173	150	716
174	154	726
175	154	723
176	156	727
177	157	725
178	157	722
179	157	719
180	158	716
181	158	713
182	159	710
183	159	707
184	161	709
185	162	712
186	163	711
187	165	713
188	165	711
189	166	709
190	166	707
191	167	704
192	167	701
193	168	699
194	168	696
195	169	694
196	170	693
197	171	693
198	171	691
199	172	688
200	172	687
201	173	685
202	173	682
203	174	681
204	175	679
205	175	676
206	176	678
207	178	679
208	182	689
209	183	690
210	185	693
211	186	694
212	187	692
213	188	690
214	188	688
215	188	685
216	189	683
217	189	680
218	191	682
219	192	681
220	193	681
221	193	679
222	194	676
223	194	674
224	195	671
225	195	669
226	195	666
227	196	665
228	198	668
229	200	669
230	200	668
231	201	665
232	201	664
233	202	661
234	202	659
235	202	656
236	203	655
237	204	653
238	204	651
239	205	649
240	205	647
241	206	646
242	207	645
243	207	642
244	207	640
245	208	638
246	208	637
247	209	635
248	210	634
249	211	635
250	213	635
251	213	633
252	213	631
253	214	629
254	214	626
255	214	624
256	216	624
257	216	623
258	217	622
259	217	620
260	218	617
261	218	615
262	218	613
263	219	611
264	219	608
265	220	608
266	221	607
267	221	605
268	221	602
269	222	600
270	222	598
271	222	596
272	223	594
273	223	592
274	224	591
275	224	589
276	224	587
277	225	584
278	225	582
279	225	580
280	226	578
281	227	578
282	228	577
283	228	576
284	229	576
285	230	575
286	230	573
287	231	571
288	231	570
289	232	568
290	232	567
291	234	568
292	235	567
293	235	565
294	235	563
295	236	561
296	236	559
297	236	557
298	237	556
299	237	554
300	237	552
301	238	550
302	240	553
303	241	552
304	242	552
305	242	550
306	243	549
307	243	547
308	243	545
309	244	543
310	244	541
311	244	539
312	246	540
313	246	539
314	247	537
315	247	536
316	248	534
317	248	533
318	249	532
319	250	531
320	250	530
321	250	528
322	251	526
323	251	525
324	252	523
325	254	525
326	254	524
327	255	522
328	255	520
329	256	519
330	256	518
331	256	516
332	257	515
333	257	513
334	257	511
335	258	510
336	259	510
337	259	508
338	260	507
339	260	506
340	261	505
341	261	503
342	262	501
343	262	500
344	262	499
345	263	498
346	264	497
347	264	495
348	265	494
349	265	492
350	265	491
351	266	489
352	266	488
353	266	486
354	267	485
355	268	486
356	269	485
357	269	483
358	270	482
359	270	481
360	270	479
361	271	478
362	271	476
363	271	475
364	272	473
365	272	472
366	273	472
367	274	471
368	274	469
369	275	468
370	275	467
371	276	466
372	276	464
373	276	463
374	277	461
375	278	461
376	278	460
377	278	458
378	279	457
379	279	456
380	280	454
381	280	453
382	281	452
383	283	454
384	283	453
385	284	452
386	284	450
387	284	449
388	285	448
389	285	446
390	286	445
391	286	444
392	286	443
393	287	441
394	287	440
395	287	439
396	288	438
397	289	437
